PH1,mean,std
med_sev,3.0,0.0
kurto_sev,1.458355106260513,0.8645272888266939
skew_sev,1.1697847451698782,0.1276315673944134
perc10_sev,0.0,0.0
perc90_sev,10.45,0.4974937185533099
med_mag,4.85256290255222,0.051315463302758144
kurto_mag,-0.0019615141552079773,0.11569297995073807
skew_mag,-0.2264340867881375,0.06748670535045542
perc10_mag,4.260079425582495,0.04151250087302665
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,35.775,0.6796138609534093
kurto_interv,27.738271759114475,21.479563077955873
skew_interv,3.5798558955798994,1.0757407585990357
perc10_interv,16.0,0.0
perc90_interv,89.47,2.61726956960877
,,
PH2,mean,std
med_sev,4.2,0.39999999999999997
kurto_sev,9.700500146034894,6.51640943798018
skew_sev,2.333624683803385,0.670498934282246
perc10_sev,1.0,0.0
perc90_sev,12.415000000000001,0.47146049675450064
med_mag,4.901398626036198,0.034116629175058304
kurto_mag,-0.03463568798479777,0.26167891217746814
skew_mag,-0.2556455032114975,0.11865529414400487
perc10_mag,4.329834379435328,0.0503413017303042
perc90_mag,5.392069364728289,0.021955093857180988
med_interv,133.925,7.558563024808353
kurto_interv,8.29387900175736,1.4030272877423744
skew_interv,2.7531304370275844,0.1915086140499573
perc10_interv,35.21,2.475863485735836
perc90_interv,611.8550000000001,57.369734834667014
,,
PH3,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0983788713889795,0.031504766509409185
skew_sev,0.3937611566671083,0.02112134084669415
perc10_sev,1.0,0.0
perc90_sev,11.9,0.30000000000000004
med_mag,4.842248106326855,0.05131546330275815
kurto_mag,-0.025463468778094845,0.0812946812513549
skew_mag,-0.220522583007212,0.044972767505003786
perc10_mag,4.254266512761425,0.03487747692641676
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,19.85,0.35707142142714243
kurto_interv,7.967522831596891,2.35766219573944
skew_interv,2.3017755978102064,0.20720500357330648
perc10_interv,14.0,0.0
perc90_interv,42.775,0.6796138609534094
,,
PH4,mean,std
med_sev,5.0,0.0
kurto_sev,-1.1074750404219222,0.030993033044272554
skew_sev,0.3677354716303013,0.0292700788101246
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703367
med_mag,4.826775911988809,0.04726833448077378
kurto_mag,-0.05225501363946319,0.07702690255887337
skew_mag,-0.21259697854748855,0.056446392798469934
perc10_mag,4.248453599940356,0.025337899554653695
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,28.8,0.5099019513592785
kurto_interv,13.200731407833368,6.591004301984394
skew_interv,2.60760429276751,0.37435133350331273
perc10_interv,14.8,0.39999999999999997
perc90_interv,68.825,0.9908960591303209
,,
PH5,mean,std
med_sev,3.05,0.2179449471770336
kurto_sev,4.504304141987278,1.651500515802176
skew_sev,1.662637910068992,0.19644325506767207
perc10_sev,0.05,0.2179449471770336
perc90_sev,10.964999999999998,0.23081377775167244
med_mag,4.857720300664902,0.050531975105853874
kurto_mag,-0.06591922175771218,0.1336328000904553
skew_mag,-0.20977915315798795,0.0566135247159536
perc10_mag,4.265892338403564,0.04650330256855568
perc90_mag,5.380481697884236,0.020413199963470536
med_interv,52.35,1.3973188612482121
kurto_interv,30.191040045829016,11.759828452579027
skew_interv,4.156580823365351,0.7186446836700786
perc10_interv,19.4,0.4898979485566357
perc90_interv,143.85500000000002,5.181840889104966
,,
PH6,mean,std
med_sev,4.95,0.15
kurto_sev,13.123825781382362,11.74195145188752
skew_sev,2.973177468537048,1.1035661935658534
perc10_sev,1.1099999999999999,0.299833287011299
perc90_sev,15.55,2.6688012290165024
med_mag,4.98474687279291,0.047943864897393794
kurto_mag,0.03647890556757192,0.4103929440940989
skew_mag,-0.3205943944577129,0.15546264522601244
perc10_mag,4.45299980519924,0.07292887584289343
perc90_mag,5.46604130468911,0.047529735702089244
med_interv,363.725,49.20327097866564
kurto_interv,-0.6923514842585627,0.2781811103137961
skew_interv,0.9204344436315586,0.12411324720242639
perc10_interv,61.05500000000001,10.25638703442884
perc90_interv,2077.68,77.72433724387741
,,
PH7,mean,std
med_sev,4.95,0.21794494717703367
kurto_sev,-1.0611716440250594,0.026377926549906186
skew_sev,0.4230587376523829,0.02027736807494551
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703364
med_mag,4.844826805383196,0.05020191295142814
kurto_mag,-0.04458240874694015,0.0818642063336726
skew_mag,-0.21741710399730133,0.05489153207908177
perc10_mag,4.254266512761425,0.03487747692641676
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,24.5,0.5
kurto_interv,8.05659062874473,2.669109888823849
skew_interv,2.2323423113759326,0.23440104798953346
perc10_interv,14.0,0.0
perc90_interv,56.82000000000001,0.7972452571197876
,,
PH8,mean,std
med_sev,5.0,0.0
kurto_sev,-1.0907639754091636,0.045543944513542794
skew_sev,0.36913058545018934,0.0326116244630485
perc10_sev,1.0,0.0
perc90_sev,11.95,0.21794494717703364
med_mag,4.816461115763445,0.04125918490145465
kurto_mag,-0.07382039284976656,0.09235688657145726
skew_mag,-0.2027926284602514,0.06564069190163208
perc10_mag,4.242640687119286,8.881784197001252e-16
perc90_mag,5.3757985886339705,0.028098655501596695
med_interv,37.9,0.5385164807134505
kurto_interv,24.294633126917514,13.716726102507048
skew_interv,3.45864393584924,0.760598084041788
perc10_interv,16.235000000000003,0.41143043154341513
perc90_interv,98.89000000000001,1.8944392310127027
,,
PH9,mean,std
med_sev,5.75,0.4330127018922193
kurto_sev,-0.4634395761214039,0.14788129120993998
skew_sev,0.8795800392970892,0.06486476895624674
perc10_sev,1.0,0.0
perc90_sev,22.95,0.3840572873934303
med_mag,4.865456397833925,0.04691531733315292
kurto_mag,-0.011763838497367196,0.11198019433065153
skew_mag,-0.2211967784577445,0.05983233116742884
perc10_mag,4.242640687119286,8.881784197001252e-16
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,41.9,0.7681145747868606
kurto_interv,32.50300050084929,22.625675565389926
skew_interv,4.053816134645265,1.1834551719474875
perc10_interv,29.0,0.0
perc90_interv,95.45,2.797230773461503
,,
PH10,mean,std
med_sev,6.425,0.48153400710645566
kurto_sev,0.2597942503735289,1.411588301231603
skew_sev,0.9605628349544594,0.21275985890688773
perc10_sev,1.7550000000000003,0.4080134801694668
perc90_sev,23.145000000000003,0.6553434214211654
med_mag,4.90392413889704,0.039090151482656925
kurto_mag,-0.034834616562803976,0.26896485341084
skew_mag,-0.2585429916649289,0.12272169818265262
perc10_mag,4.3275092143069,0.04933790015519591
perc90_mag,5.394370883926218,0.02761823037514737
med_interv,143.725,7.722491502099564
kurto_interv,8.043710699633504,1.167087117503205
skew_interv,2.72329601604511,0.1625367252581392
perc10_interv,45.505,2.9224091089373503
perc90_interv,637.1600000000003,52.24142417660538
,,
PH11,mean,std
med_sev,11.65,0.653834841531101
kurto_sev,-1.2109374111336932,0.04623234142371483
skew_sev,0.23084672430914072,0.06045044451745141
perc10_sev,2.0,0.0
perc90_sev,25.1,0.29999999999999993
med_mag,4.849984203495879,0.05020191295142814
kurto_mag,-0.039988874023691376,0.10648970952072878
skew_mag,-0.2182164217902315,0.054416142943648944
perc10_mag,4.248453599940356,0.0253378995546537
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,30.45,0.49749371855331
kurto_interv,11.033453675872533,4.051201721847898
skew_interv,2.7395540154174305,0.28974746317258127
perc10_interv,29.0,0.0
perc90_interv,52.5,0.9746794344808963
,,
PH12,mean,std
med_sev,12.25,0.4330127018922193
kurto_sev,-1.227892572364024,0.02444177146690674
skew_sev,0.18301576080940207,0.04026573728118573
perc10_sev,2.0,0.0
perc90_sev,25.0,0.0
med_mag,4.826775911988809,0.04726833448077378
kurto_mag,-0.06423635072664491,0.07377008475996541
skew_mag,-0.20626448903457476,0.05970708237053524
perc10_mag,4.242640687119286,8.881784197001252e-16
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,42.15,0.5722761571129797
kurto_interv,17.44196067623708,8.641506484188385
skew_interv,2.9146275745702215,0.4756171077282033
perc10_interv,29.0,0.0
perc90_interv,81.15,1.2757350822173072
,,
PH13,mean,std
med_sev,5.25,0.4330127018922193
kurto_sev,-0.05676794273886861,0.26647141091283083
skew_sev,1.0289296472081204,0.07548957259392067
perc10_sev,1.0,0.0
perc90_sev,22.129999999999995,0.6797793759742958
med_mag,4.8577203006649015,0.05053197510585389
kurto_mag,-0.03892116728353534,0.11327291958214603
skew_mag,-0.2102950701373306,0.055744874950227695
perc10_mag,4.260079425582495,0.04151250087302666
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,59.6,1.4966629547095767
kurto_interv,30.011248441281015,13.406391477483046
skew_interv,4.162622445272067,0.783581311302221
perc10_interv,29.1,0.2999999999999999
perc90_interv,152.13500000000002,4.189066125045054
,,
PH14,mean,std
med_sev,6.425,0.7292976072907411
kurto_sev,4.472972157876429,5.209550391550506
skew_sev,1.699609885277329,0.6912383934413874
perc10_sev,1.465,0.48608126892526926
perc90_sev,24.355,1.1551947887694072
med_mag,4.98474687279291,0.047943864897393794
kurto_mag,0.05222379849203342,0.4209631859973046
skew_mag,-0.3177779258373242,0.170117322998407
perc10_mag,4.441753302994634,0.07458247534157529
perc90_mag,5.468312384284263,0.04955755617623121
med_interv,385.075,54.83914546197816
kurto_interv,-0.7561010886336399,0.27463087454454777
skew_interv,0.8886763499209834,0.12623422809106158
perc10_interv,70.27000000000001,6.660187685043117
perc90_interv,2084.4800000000005,74.27633270430084
,,
PH15,mean,std
med_sev,11.85,0.3570714214271425
kurto_sev,-1.2147842048428465,0.033314460443705014
skew_sev,0.23380766256794677,0.04776008756744976
perc10_sev,2.0,0.0
perc90_sev,25.0,0.31622776601683794
med_mag,4.831933310101491,0.0491984423700097
kurto_mag,-0.03422196255150589,0.08664475640800925
skew_mag,-0.22045686655284102,0.05849494593281266
perc10_mag,4.248453599940356,0.0253378995546537
perc90_mag,5.385164807134502,1.7763568394002505e-15
med_interv,35.65,0.4769696007084729
kurto_interv,12.165135223084944,4.6669887620142765
skew_interv,2.6389101304188087,0.2913693431334332
perc10_interv,29.0,0.0
perc90_interv,67.40500000000002,0.7130743299263912
,,
PH16,mean,std
med_sev,12.4,0.48989794855663554
kurto_sev,-1.2367656118550476,0.03210411536196412
skew_sev,0.18172829763008758,0.04544677872312761
perc10_sev,2.0,0.0
perc90_sev,25.085,0.2593742469868641
med_mag,4.819039814819787,0.041500233796955235
kurto_mag,-0.05555746081086099,0.10329748722305922
skew_mag,-0.20038659717554533,0.07250522703027246
perc10_mag,4.242640687119286,8.881784197001252e-16
perc90_mag,5.380481697884236,0.020413199963470532
med_interv,50.8,0.8717797887081347
kurto_interv,26.039312812014952,15.427616577899753
skew_interv,3.611678014079098,0.8788947464296963
perc10_interv,30.0,0.0
perc90_interv,111.76500000000001,2.530666908148913
,,
ADWIN1,mean,std
med_sev,41.6,13.7637204272682
kurto_sev,23.425776782213468,19.873374884783267
skew_sev,3.8967950425275384,1.9608378728583007
perc10_sev,0.0,0.0
perc90_sev,136.00000000000006,21.691657382505333
med_mag,4.885926431698152,0.05094447692494916
kurto_mag,-0.0696053414052219,0.4915430134675576
skew_mag,-0.23008123566419275,0.262530603718195
perc10_mag,4.346102683848746,0.07958492099203605
perc90_mag,5.376026686995773,0.05673297579977594
med_interv,1096.0,13.856406460551018
kurto_interv,7.503843270148127,10.189415733854172
skew_interv,-1.2560738548583508,1.7639205921553383
perc10_interv,1010.0799999999999,17.99626627942585
perc90_interv,1172.48,15.91658254777074
,,
ADWIN2,mean,std
med_sev,42.4,14.554724318928198
kurto_sev,19.995638781536822,12.48615275879736
skew_sev,3.5921970413626303,1.4503176257353154
perc10_sev,0.0,0.0
perc90_sev,120.64000000000007,16.31999999999994
med_mag,4.8756648216682885,0.052531447437462825
kurto_mag,-0.18285212692744282,0.42826993961632376
skew_mag,-0.19303793996666482,0.17124983939105715
perc10_mag,4.345091163532655,0.07073496276477365
perc90_mag,5.354096144373932,0.05913180119028669
med_interv,1096.0,13.856406460551018
kurto_interv,2.50178576951025,6.236711666081366
skew_interv,-0.4421807677309584,1.14958643195965
perc10_interv,1013.9200000000001,14.42752924100312
perc90_interv,1175.04,17.689951950189123
,,
ADWIN3,mean,std
med_sev,38.4,11.757550765359257
kurto_sev,14.883898674671773,13.132061550269466
skew_sev,2.9042156194298987,1.5807269633926593
perc10_sev,0.0,0.0
perc90_sev,115.2,18.659046063504967
med_mag,4.865403211638425,0.049578587327315064
kurto_mag,-0.0069965816936444995,0.5110210152923821
skew_mag,-0.19120123938525707,0.2225908830150532
perc10_mag,4.316133393419331,0.07620096804955881
perc90_mag,5.3349711374357955,0.05444752116368808
med_interv,1100.8,15.676734353812341
kurto_interv,2.5075439126385337,6.437908296750746
skew_interv,-0.49499318331280484,1.2075383192622187
perc10_interv,1012.4799999999999,15.090977436866043
perc90_interv,1176.48,17.15137312287269
,,
ADWIN4,mean,std
med_sev,35.2,9.6
kurto_sev,16.750790566230542,15.779917700267553
skew_sev,3.1009184681616757,1.671595129800821
perc10_sev,0.0,0.0
perc90_sev,125.12000000000003,16.716746094859445
med_mag,4.847348809408646,0.054199816496119976
kurto_mag,0.007383132917429869,0.44725361609160796
skew_mag,-0.17173997406027314,0.2297496969235588
perc10_mag,4.293049188408578,0.06742551553338655
perc90_mag,5.287971243491413,0.04734657159448583
med_interv,1095.2,12.874781551544862
kurto_interv,4.204153851769392,8.159277758024583
skew_interv,-0.6218535440559494,1.450145969209317
perc10_interv,1016.64,12.520958429768864
perc90_interv,1184.3200000000002,19.77537863101487
,,
ADWIN5,mean,std
med_sev,33.6,6.974238309665077
kurto_sev,11.902040006032847,17.59203265457386
skew_sev,2.4713355052394004,1.8588982203024078
perc10_sev,0.0,0.0
perc90_sev,115.68000000000004,18.473591962582685
