detector,mean_n_detect,mean_n_TP,mean_n_FP,mean_delay,std_n_detect,std_n_TP,std_n_FP,std_delay
PH1,3483.1,100.0,3383.1,34.07,34.58164252894879,0.0,34.58164252894879,2.6273066056324677
PH2,688.1,85.25,602.85,162.34959384888484,22.84491190615538,3.533765696816924,21.26799238292134,11.627044804273392
PH3,6395.7,100.0,6295.7,15.920499999999999,39.62966060919523,0.0,39.62966060919523,1.2029358877346705
PH4,4230.65,100.0,4130.65,26.726999999999997,42.2815266990207,0.0,42.2815266990207,2.245457859769361
PH5,2297.1,99.95,2197.15,55.195227272727266,36.96200752123726,0.21794494717703367,36.99226270451701,4.917252566178269
PH6,232.9,52.05,180.85,199.04924668138054,16.176835290006508,3.694252292413175,15.097267964767664,18.058359797590796
PH7,5106.15,100.0,5006.15,21.067999999999998,41.553910766617385,0.0,41.553910766617385,1.7797629055579285
PH8,2987.2,100.0,2887.2,40.478500000000004,41.4325958636434,0.0,41.4325958636434,3.79314549549579
PH9,2938.7,100.0,2838.7,34.493,21.649711314472533,0.0,21.649711314472533,2.968947793410992
PH10,658.1,85.35,572.75,162.2006499405361,23.436936659896492,3.6369630187836663,21.39363223017541,12.985028633069255
PH11,4227.05,100.0,4127.05,20.1755,14.78673391929401,0.0,14.78673391929401,1.2226343484460098
PH12,3109.2,100.0,3009.2,30.347499999999997,27.949239703433793,0.0,27.949239703433793,1.94876595567554
PH13,2055.0,99.95,1955.05,56.651404040404046,27.188232748746287,0.21794494717703367,27.176230422926576,6.070809556177896
PH14,227.7,51.85,175.85,199.34809953850257,15.553456207544354,3.8506492958980303,14.571461834695926,18.03444963217496
PH15,3645.65,100.0,3545.65,24.407999999999998,24.791682072824347,0.0,24.791682072824347,2.0791863793320697
PH16,2405.35,100.0,2305.35,42.535,25.098356519899863,0.0,25.098356519899863,3.8785570770584266
ADWIN1,46.7,7.95,38.75,314.9462049062049,6.827151675479314,2.2466641938660974,6.7740312960599764,41.65998188274912
ADWIN2,41.8,7.25,34.55,317.81898268398265,6.652818951391959,2.2332711434127295,6.807899822999747,47.127568994706564
ADWIN3,37.45,6.25,31.2,317.4433116883117,6.553434214211659,2.2107690969434146,5.3814496188294845,60.646077372647724
ADWIN4,29.8,5.25,24.55,304.6835497835498,9.426558226627574,2.7726341266023544,7.915017372059268,52.48355543755816
ADWIN5,24.3,5.0,19.3,320.03857142857146,7.785242449660768,2.1447610589527217,6.221736092120912,73.16084432349369
ADWIN6,17.8,3.25,14.55,288.1544973544973,8.66371744691619,1.7571283390805579,7.889708486376413,73.90691935946802
ADWIN7,6.3,1.65,4.65,284.8363636363636,6.132699242584785,1.8241436346954698,4.5964660338133685,88.59103342290616
ADWIN8,5.1,1.45,3.65,269.17777777777775,5.038849074937649,1.9868316486305528,3.5535193822462823,83.36903531517392
ADWIN9,1.25,0.35,0.9,234.0,1.6393596310755,0.7262919523166975,1.1789826122551597,89.90550594930212
DDM1,0.3,0.05,0.25,387.0,0.45825756949558394,0.21794494717703364,0.4330127018922193,0.0
DDM2,0.3,0.05,0.25,387.0,0.45825756949558394,0.21794494717703364,0.4330127018922193,0.0
DDM3,138.25,32.35,105.9,239.31751975763564,10.167964398049396,4.04073013204297,9.332202312423364,25.661097051899198
DDM4,6.2,1.7,4.5,277.5177777777778,2.6570660511172846,1.452583904633395,2.1095023109728985,115.77930146150295
DDM5,1.95,0.65,1.3,282.6666666666667,1.16081867662439,1.0136567466356647,0.9539392014169457,156.7605848176797
DDM6,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM7,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM8,0.05,0.0,0.05,nan,0.21794494717703364,0.0,0.21794494717703364,nan
DDM9,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
DDM10,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
SeqDrift21,6.05,1.65,4.4,357.8888888888889,2.8013389655662877,1.5898113095584643,2.0591260281974,127.31074067555346
SeqDrift22,4.5,1.15,3.35,353.4444444444445,2.7477263328068173,1.3143439428094916,1.9563997546513854,139.757285196272
SeqDrift23,3.35,0.8,2.55,403.6296296296296,2.2197972880423116,1.1224972160321824,1.5321553446044562,104.0173827406194
